V1,V2,V3,V4,a_n,L_n,slot,cents,ring_err,neg_level
2.287467587055787703e+02,3.500000000000000000e+02,1.649321992232217440e+02,1.019834498693429765e+02,1.401728601842657973e+01,2.988382012781832131e+01,4.001374148941628128e+00,3.464301184961165063e+02,5.094771241830062802e-01,-3.139134944557710583e+01
3.217627318597944281e+02,1.780577888249584078e+02,4.000000000000000000e+01,1.054686535498415481e+02,1.500000000000000000e+01,4.167575111530359067e+01,4.000000000000000000e+00,1.040882192139143626e+03,3.999999999999998002e-01,-3.598993333665027450e+01
3.261150840344889161e+02,2.016039707566951051e+02,4.136661255678347970e+01,1.046543373402165713e+02,1.493821905573854636e+01,4.300582103047172922e+01,4.536388012263245173e+00,5.111606472914143069e+02,6.928104575163394063e-01,-3.766631597362963646e+01
3.206657471758859401e+02,1.708012884943264851e+02,6.247485969098980263e+01,1.101000101655099854e+02,1.489801564842719550e+01,4.083679421431618550e+01,4.814638842171394373e+00,9.145798388308570566e+02,8.430402930402924877e-01,-3.944562015366898322e+01
3.452463616955738530e+02,3.500000000000000000e+02,1.612943336534740979e+02,1.030952742937052307e+02,1.182652249861241955e+01,2.433873657274055802e+01,5.975794409010667607e+00,5.820563849927206945e+01,1.403456790123456477e+00,-4.058806215063928846e+01
3.840652653754355015e+02,3.499804707596260869e+02,1.679862282987776325e+02,1.018500738497712916e+02,1.150114054784553730e+01,2.183948083627968018e+01,6.409293702537561366e+00,3.857451707997259405e+01,1.515262515262514986e+00,-4.075676785314296069e+01
4.024471382679826092e+02,3.494380954646761097e+02,1.623590473692426031e+02,1.016495748117978053e+02,1.137159519786007600e+01,2.189062828977350250e+01,6.564887438149076715e+00,2.600257841079434229e+01,1.559365079365079065e+00,-4.178409203810001316e+01
3.712264132074803342e+02,3.395904941117944986e+02,1.616633018727458477e+02,1.011719533735172689e+02,1.137673486981791271e+01,2.294635015136055500e+01,5.946621660612314564e+00,6.994719865296652017e+01,1.448853615520282023e+00,-4.088751184338427436e+01
2.412258012933628493e+02,2.941014937683528956e+02,1.708500645483460403e+02,1.068729718713181853e+02,1.280562821594324596e+01,2.759142286352247808e+01,4.072685788190621992e+00,1.233086850263411947e+02,7.195767195767196478e-01,-3.359884638329778994e+01
3.033233724602953316e+02,2.017565855607476806e+02,4.599042334662357234e+01,1.123899358162829287e+02,1.500000000000000000e+01,4.506210606521204198e+01,4.018779378232998134e+00,6.383864609023747789e+02,4.611111111111108607e-01,-3.488911310222872686e+01
3.214986865013495390e+02,1.858483567846689368e+02,4.171266293289763638e+01,1.057215112348935548e+02,1.500000000000000000e+01,4.160790624122369508e+01,4.000000000000000000e+00,1.006999124082975754e+03,4.611111111111108052e-01,-3.540907945454079453e+01
2.276468627226970227e+02,3.458305089133973524e+02,1.625968143083138102e+02,1.105919941115897842e+02,1.396916933580868836e+01,2.966567212295370481e+01,4.000908844043653545e+00,2.856678991646891745e+02,5.983193277310919767e-01,-3.006308940943832653e+01
3.030318461891379798e+02,1.669575378817180251e+02,4.101232666568304808e+01,1.196764788469049421e+02,1.492920399423358013e+01,4.595900730679790058e+01,4.014772176816690852e+00,1.166221690024563941e+03,3.999999999999994116e-01,-3.585771862884281802e+01
3.584376544150415498e+02,3.453552662496808239e+02,1.597747073191841878e+02,1.003216249944205174e+02,1.144966806631059519e+01,2.244207391539087837e+01,4.797585172322205160e+00,1.029958914088486637e+02,1.190389016018306378e+00,-3.855286192868672401e+01
2.191927301062926006e+02,3.417585937076805180e+02,1.570184068060551397e+02,1.198197885601514940e+02,1.397722606858415517e+01,3.083753953894780508e+01,4.000000000000000000e+00,2.665260152558438449e+02,6.177248677248675657e-01,-3.420951686146491255e+01
3.243102384801615017e+02,1.899197530518872270e+02,4.340364811420788982e+01,1.005788822414209136e+02,1.499716418158851816e+01,4.585698759606331265e+01,4.105199223093310756e+00,9.796810181492744505e+02,4.293650793650787278e-01,-3.525073735264730601e+01
2.336548880961121881e+02,3.500000000000000000e+02,1.691324315380670100e+02,1.207788706189595729e+02,1.394863065287911930e+01,3.345814334780021682e+01,4.028918103646784488e+00,2.913930482111315996e+02,5.443977591036410768e-01,-3.097473772388566005e+01
3.185842500211278434e+02,1.732157355446119880e+02,6.217338254591776803e+01,1.098289511951449100e+02,1.491033829282080525e+01,4.129358850665002478e+01,4.803572347001608733e+00,8.988321007234604849e+02,8.747863247863244540e-01,-3.968133099733928049e+01
3.528873821469708787e+02,3.462020340777677347e+02,1.600109548940178854e+02,1.008470412813193491e+02,1.140856190569440365e+01,2.229430976407746101e+01,4.838379093138747145e+00,9.549488981803207821e+01,1.290476190476190110e+00,-3.905632257308639765e+01
3.659037561693552902e+02,3.394392411000570746e+02,1.616920922444117821e+02,1.011773849457485568e+02,1.156529576475682397e+01,2.265396682249259186e+01,5.917500148672841576e+00,5.284080704755170643e+01,1.452405372405372042e+00,-3.998176311035009434e+01
2.336534683285647986e+02,3.499940872219501671e+02,1.692781540476261171e+02,1.211308873790280813e+02,1.395643313240684869e+01,3.346621712383305436e+01,4.028272575984103376e+00,2.930394906072804133e+02,5.697945845004666054e-01,-3.098189572273057735e+01
2.203350182725407933e+02,3.500000000000000000e+02,1.636588767573288123e+02,1.016995408996120887e+02,1.414041473101756097e+01,2.991842924384649294e+01,4.000000000000000000e+00,3.805017395032689933e+02,5.983193277310921987e-01,-3.165375093558933983e+01
3.091086122190922083e+02,1.650747974454796747e+02,4.000000000000000000e+01,1.193265557091531406e+02,1.499077073426555806e+01,4.567438252448842917e+01,4.014824419376865627e+00,1.180706866235133248e+03,5.222222222222219212e-01,-3.631767409184102036e+01
3.217792755926652148e+02,1.826732887448730196e+02,4.000000000000000000e+01,1.062217228655574104e+02,1.466039849063605160e+01,3.982419556180551012e+01,4.988970312822538666e+00,9.709166842240568940e+02,8.416708563767381079e-01,-3.923720117117937889e+01
3.216090591759586914e+02,1.820732780199015508e+02,4.223989257072164349e+01,1.063073537392386498e+02,1.466285688692394906e+01,4.005210638138420620e+01,4.980359338465755847e+00,9.735312989630333504e+02,7.607116920842407204e-01,-3.956304333810739138e+01
2.221038592755852505e+02,3.500000000000000000e+02,1.611248409232061647e+02,1.104780879193690453e+02,1.399884130405287586e+01,3.035916190520611124e+01,4.000898408217770985e+00,2.867357502888568774e+02,5.828042328042326581e-01,-2.974076749078114901e+01
3.078014425607432827e+02,1.738235878747223637e+02,4.554482459043114062e+01,1.200997182482493031e+02,1.497515221171897082e+01,4.339135791572805800e+01,4.014746469815113628e+00,1.121125076184511727e+03,3.999999999999994116e-01,-3.561317896694973939e+01
2.996016539192512482e+02,1.934276258826661774e+02,4.151487579504917136e+01,1.119764545846791606e+02,1.499680634001986235e+01,4.391901276662072462e+01,4.000000000000000000e+00,6.163762087582506410e+02,5.761437908496729321e-01,-3.383429991210017107e+01
