rt,rm,L,k,H,G_dB,refl,Pcost,fc_Hz
1.786332018747201289e+01,1.170647996101609749e+02,5.888455867116795162e+02,1.282418632550069437e-01,1.803282692993168723e+02,1.738009702924198763e+01,2.740773790786233954e-01,3.130006523743150915e+00,1.742872560553790606e+02
2.314192281753593150e+01,9.605793563047288330e+01,3.006062809198149353e+02,2.528720328386094285e-01,1.475050130814019838e+02,1.555235589153890707e+01,2.618545088417162381e-01,2.339869854628203516e+00,2.584725261514278145e+02
1.590059676801835842e+01,1.013169937054197192e+02,5.035356010689173445e+02,1.315616485614540809e-01,1.434287766163697597e+02,1.685786385703631041e+01,3.737472297374657693e-01,2.722715260167332119e+00,2.007710167806089885e+02
2.004407508557711282e+01,7.854671000138445436e+01,3.000000000000000000e+02,1.820643805891042910e-01,1.167518129414229691e+02,1.495750501214956074e+01,3.515842710335534971e-01,2.221503057135286507e+00,2.485234345102560667e+02
1.760788801838844364e+01,1.165859946325768846e+02,5.922146316563954542e+02,1.296805493725731728e-01,1.916731199992377697e+02,1.738675954818996416e+01,2.823207910177010782e-01,3.178924579261772188e+00,1.742455741720988840e+02
1.830741237697113633e+01,6.781676849165764054e+01,3.000000000000000000e+02,1.567686697485483061e-01,8.310379566850789956e+01,1.405185775054015451e+01,4.054453036974027813e-01,2.134745169642137341e+00,2.382866149005577086e+02
1.711143970502358513e+01,1.100862117066340744e+02,5.116190230051379331e+02,1.370493640988901529e-01,1.575760183103310510e+02,1.715361247808903045e+01,3.282133015678579402e-01,2.832774922499976533e+00,1.986252581998100482e+02
1.332077417973397004e+01,6.110693385255473942e+01,3.000000000000000000e+02,1.752486038175849470e-01,5.342177848957158659e+01,1.337703205554183583e+01,5.220414013312413282e-01,2.067381511514525538e+00,2.771906636433889730e+02
1.687121602462709902e+01,1.165050135591621085e+02,6.084601012393540032e+02,1.241393006059723497e-01,1.922183009094250394e+02,1.745996337992337288e+01,3.030617746612946362e-01,3.214419309670546454e+00,1.733653870054903905e+02
2.261559012550092618e+01,1.135813549671203191e+02,4.887972271871544194e+02,1.408975918427496088e-01,1.884369745813532973e+02,1.687114249259887444e+01,2.127545341113737942e-01,2.935817503569730480e+00,1.802423005423983398e+02
1.922326223547884538e+01,7.928069987366070848e+01,3.000782347421905456e+02,1.809469764432706240e-01,1.089465045521092463e+02,1.508846442954095757e+01,3.610351288101948941e-01,2.208466588576749157e+00,2.577572341331140251e+02
1.686704169639747164e+01,1.162981947603076094e+02,6.344438818755463672e+02,1.219737100750116349e-01,1.906028613932478493e+02,1.755768978624638876e+01,3.320629490628065894e-01,3.270861968885950155e+00,1.661335830511027609e+02
2.395947541949143655e+01,1.230000000000000000e+02,4.148445265962572535e+02,1.631135071839942552e-01,1.933163194322519303e+02,1.667719773139317141e+01,1.710262019956172441e-01,2.803800721769984072e+00,2.152605905592493230e+02
2.135112847597991248e+01,1.117213325816046137e+02,4.923967696152091094e+02,1.370570464447826153e-01,1.780045872317551243e+02,1.693768669692028084e+01,2.281338923266930385e-01,2.894296098884534985e+00,1.834727706846624926e+02
1.931244595455103763e+01,7.685620273367460698e+01,3.000299357941143512e+02,1.810198399100307054e-01,1.084327347680569602e+02,1.486860424139393544e+01,3.664898432905865922e-01,2.200296814633717180e+00,2.513054824162728096e+02
1.423391902250261865e+01,7.379196119851653179e+01,3.000000000000000000e+02,1.865792057650807467e-01,7.011562898424180901e+01,1.464387218733724794e+01,4.951964834499933410e-01,2.125842679154489545e+00,2.994491514072971086e+02
1.988522191462926969e+01,1.229134238801448760e+02,5.010113937716050145e+02,1.387074843403809932e-01,2.000000000000000000e+02,1.728590619867661715e+01,2.331829829279992161e-01,3.022286726510549748e+00,1.984708067207518809e+02
2.217658853026601662e+01,1.041005110167120336e+02,3.553437077545101488e+02,2.178988523804797628e-01,1.815632300343116299e+02,1.623986647059707522e+01,2.345093006534069435e-01,2.552036027298695942e+00,2.375554056101498190e+02
2.368971813655119973e+01,1.141818132088784665e+02,4.081601348655433412e+02,1.525152618444002850e-01,1.692460831114066480e+02,1.663475698140035419e+01,1.935359249933308601e-01,2.693094709740920134e+00,2.103505307810372358e+02
2.216867379958835116e+01,1.022345207197111279e+02,3.150117778485423514e+02,2.168189054457441423e-01,1.790442722201028403e+02,1.576078602262085582e+01,2.503914509938995336e-01,2.445115048653236034e+00,2.648977352016880218e+02
1.921847169729804250e+01,7.338499792957453849e+01,3.000000000000000000e+02,1.559439776183044191e-01,1.011486302899568415e+02,1.454494619316262316e+01,3.779463216855378227e-01,2.178642421566226783e+00,2.438082591295162160e+02
2.195554314524278894e+01,9.978759632229575516e+01,3.562543371636891720e+02,2.178517056864444357e-01,1.810432540427385106e+02,1.614485346503767715e+01,2.448903856366441423e-01,2.539502308771498296e+00,2.319994321779095401e+02
1.778915355066807891e+01,1.101192145413393888e+02,5.109515206388701927e+02,1.369632525167505666e-01,1.674987428538000813e+02,1.714311818599649939e+01,3.078099504524293706e-01,2.868642839338004347e+00,1.947669124687208750e+02
1.354660841184802855e+01,6.539528644063702245e+01,3.083577053829999386e+02,1.734940225984556161e-01,5.172675560350876367e+01,1.386313591213107088e+01,5.205294193023936034e-01,2.104408828300752710e+00,2.787088731329222355e+02
2.006148823392566172e+01,1.022927535243749588e+02,3.000000000000000000e+02,2.132161391741132506e-01,1.639596018891003553e+02,1.565168905365970886e+01,3.045737585839015105e-01,2.370516315168104349e+00,2.964311983600459257e+02
2.360205262449354890e+01,1.100234617526570133e+02,3.732547109025658756e+02,2.075209317781135654e-01,1.857510085413720446e+02,1.644742366699693648e+01,2.193944707370150404e-01,2.631474046058992489e+00,2.251381725273604104e+02
2.176438652206950763e+01,1.114303107611821986e+02,3.773857037602766695e+02,2.029619352718621816e-01,1.853777621564264280e+02,1.654230762711984326e+01,2.335371070115067893e-01,2.634930395454438745e+00,2.362370838228026457e+02
1.792623224694809636e+01,8.566114030590333073e+01,3.194826928843449423e+02,1.767494911607072616e-01,1.256386759658206103e+02,1.537488406686242826e+01,3.808674314170330533e-01,2.281631307973336575e+00,2.672642775173204086e+02
1.593429642635819832e+01,8.562548256721373718e+01,3.194693300455692793e+02,1.703389504274792354e-01,1.256445373616442680e+02,1.534779088835550631e+01,4.239143865560932589e-01,2.270635909607424896e+00,2.873322095393908739e+02
1.834035797074319518e+01,5.600717993900703107e+01,3.000000000000000000e+02,1.721965736030353911e-01,6.407790112566374319e+01,1.274588942795595692e+01,4.396000459408853089e-01,2.077304726608611762e+00,2.031437445497534213e+02
2.080073004326792230e+01,1.095359842007159159e+02,3.178491163973023959e+02,2.123914757636383432e-01,1.662682320139631145e+02,1.587370703959064677e+01,2.654204002598289924e-01,2.438905209936547358e+00,2.853199684929036266e+02
1.756702564500331931e+01,7.013244670678624004e+01,3.002400622593010553e+02,1.528999382753518654e-01,8.372839371502438155e+01,1.434183160393148881e+01,4.095360807361081434e-01,2.139847509451763941e+00,2.517069826824894108e+02
1.436589593773737583e+01,5.772678260812654116e+01,3.000000000000000000e+02,1.777016264909016263e-01,7.646382135370303956e+01,1.306401813057251893e+01,4.867764065893006031e-01,2.068568023327742367e+00,2.530915923403238423e+02
2.081400572163074614e+01,1.088882523613446978e+02,3.185194952353338067e+02,2.122649103172420115e-01,1.860406658625234968e+02,1.589087761808864130e+01,2.650915642689422036e-01,2.479447989910545935e+00,2.835936220923750852e+02
2.353377580252305989e+01,1.106969909430091690e+02,3.624518761490979273e+02,2.078942685354153164e-01,1.872363666635084485e+02,1.633678998423973283e+01,2.157261942811228572e-01,2.609744061757627520e+00,2.332039181123723210e+02
1.737881643185613001e+01,7.062240090183544794e+01,3.012237815688686169e+02,1.591808835767396235e-01,8.431562516231306859e+01,1.440458274589928678e+01,4.125777427525651464e-01,2.142424286661326782e+00,2.540987626865567393e+02
1.818647097746380226e+01,1.103369108250222297e+02,5.104681744231509697e+02,1.334343478577865172e-01,1.662820473418882443e+02,1.713844960819827179e+01,2.969753540927834168e-01,2.867988188941395400e+00,1.928003045202646035e+02
1.585120886522744676e+01,6.339896551745835040e+01,3.003176588921149346e+02,2.035018828480463504e-01,8.019843732423092320e+01,1.370187618348977310e+01,4.514014755946314517e-01,2.101508147052205899e+00,2.519763806348107380e+02
