V1,V2,V3,V4,a1,a2,a3,a4,L_n,slot,cents,ring_err,neg_level
5.239316974787734580e+02,3.397324792016202650e+02,1.971115424763286796e+02,1.148576270719124750e+02,8.342643716332636572e+00,1.424404540316042578e+01,1.470313954929025790e+01,1.434769874333490236e+01,3.564710557866835217e+01,4.000000000000000000e+00,1.162840164142615151e+02,5.150326797385613720e-01,-3.774218009611185209e+01
4.518924570025951652e+02,3.275625917932765674e+02,1.922527278888449302e+02,1.292642001669516674e+02,1.008565836738636357e+01,1.343666943688482363e+01,1.461342072524521640e+01,1.480881238493826579e+01,3.222217214395201523e+01,4.000000000000000000e+00,3.893637242127808804e+02,2.650326797385615940e-01,-3.460383888226572680e+01
6.856468802670859759e+02,3.286695277570406120e+02,1.323265229538367862e+02,1.018018339528143059e+02,1.496810833051775980e+01,6.686958587708097035e+00,1.086553762570372506e+01,1.244071171203008319e+01,2.782656253838188931e+01,9.740570582026018442e+00,4.359293912877444654e+01,1.607192008879023026e+00,-4.160246956882271263e+01
4.536635577758258933e+02,3.272505026383642530e+02,1.883702602117077731e+02,1.289325929750747832e+02,9.890087652986476741e+00,1.352512156818102262e+01,1.428193641033405470e+01,1.482009002011965215e+01,3.217656128706200036e+01,4.000000000000000000e+00,3.985301242169334159e+02,2.722222222222219212e-01,-3.559807687624264361e+01
6.981498885667497234e+02,3.179055820094768023e+02,1.216262611151862814e+02,1.034924117687462939e+02,1.511488288207760533e+01,7.493087323509702635e+00,1.035718235943910415e+01,1.241147504084243813e+01,2.752983718275191549e+01,9.749977533602322666e+00,5.104239137983014984e+01,1.558395061728394815e+00,-4.084821395618662621e+01
3.857353762034690590e+02,3.074550582909112677e+02,1.915235110227537803e+02,1.207132680276081231e+02,9.692514616133529159e+00,1.330494169440287244e+01,1.497374895043805232e+01,1.476241586466689704e+01,3.297607032773640867e+01,4.142576478893355230e+00,3.123822797998669216e+02,3.261437908496727101e-01,-3.077409392565015622e+01
4.087561412178307592e+02,3.087536687368136654e+02,1.944074375196482833e+02,1.207092582015327622e+02,9.439164300509453653e+00,1.313221736360506675e+01,1.477854945449535684e+01,1.473924019244162942e+01,3.247754376554698297e+01,4.000000000000000000e+00,3.451589684056135070e+02,3.261437908496728211e-01,-3.502757346895072033e+01
4.404533267535235268e+02,3.379725100310344033e+02,1.942526745073712959e+02,1.261247058366906231e+02,7.452010686966450415e+00,1.455143430796675474e+01,1.461314006242439589e+01,1.488843309604673060e+01,3.177381229406473295e+01,4.000663161454053096e+00,6.726665564812570892e+02,2.111111111111106386e-01,-3.624961252620377650e+01
6.693526288293054449e+02,2.096814699810391005e+02,1.294634546057984608e+02,9.634018533351917313e+01,1.599836616621956509e+01,9.529517792447460778e+00,1.098584552449441176e+01,1.209943144894539202e+01,2.958370515559602509e+01,9.278928135767174012e+00,2.788576566846719516e+02,1.381587301587301475e+00,-4.108253203519315377e+01
6.456528948235609278e+02,2.276006393469583031e+02,1.263230666980774686e+02,9.850997028270114697e+01,1.553224478598435532e+01,9.239812249765023466e+00,1.077686804224038752e+01,1.227380323234201676e+01,2.829808152749977168e+01,9.021078229779956104e+00,3.270231389182091561e+02,1.237980216241085563e+00,-4.101997611832455704e+01
6.257217383742042784e+02,2.123679980668651694e+02,1.894367551052420424e+02,1.132299471910470885e+02,5.446024712780696220e+00,1.107043960001535865e+01,1.488008344300997976e+01,1.443052703015105109e+01,3.476815828874574521e+01,4.000000000000000000e+00,6.161856144504873178e+00,7.335511982570804834e-01,-3.965896822752362993e+01
6.399874327542643186e+02,2.262035631919916625e+02,1.243971479762734731e+02,9.847478036171210647e+01,1.600000000000000000e+01,9.447724780031046876e+00,1.056255431336154871e+01,1.226590141476246387e+01,2.835305359221708699e+01,9.019676021895064011e+00,3.076353138005536607e+02,1.288994708994708915e+00,-4.132252108437479876e+01
5.755271211260671862e+02,3.349242012869228802e+02,1.942705771802896777e+02,1.246155185881493423e+02,7.143076977657101700e+00,1.453153144705818889e+01,1.460884703918918603e+01,1.486691244999088113e+01,3.212937369399118381e+01,4.000654437144592457e+00,7.073364457416860773e+01,4.900966183574874124e-01,-3.669479600595415292e+01
6.988994832879737942e+02,3.223283568112565831e+02,1.212478500901961809e+02,1.035008020036539165e+02,1.513437400547370970e+01,7.490267510659945671e+00,1.034329181056840596e+01,1.243082548289432765e+01,2.756745439129688435e+01,9.031566757731233963e+00,6.031941429956470557e+01,1.474489795918366930e+00,-4.077823660118053795e+01
5.272450635361519744e+02,3.546080185768819319e+02,1.960532515211121165e+02,1.231267233360020725e+02,9.037795067646239744e+00,1.408207753646948390e+01,1.496021271616768544e+01,1.502173485559652555e+01,3.322342523824374183e+01,4.000000000000000000e+00,5.818043329760081406e+02,2.365079365079361118e-01,-3.852558366542125157e+01
3.912459061698584151e+02,3.091872974806178718e+02,1.932504602025053657e+02,1.216868921604495171e+02,1.002263750030457246e+01,1.321741653408613359e+01,1.469308607730326877e+01,1.473784250088426084e+01,3.269171787122960637e+01,4.000005616573234057e+00,2.717264363478601013e+02,3.872549019607839371e-01,-3.273994063994540227e+01
6.810183445840119703e+02,2.662304797667844696e+02,1.341973586935158949e+02,1.057133490606912432e+02,1.535017762288051912e+01,9.644834372798925415e+00,1.086873759093349534e+01,1.247626848713863978e+01,2.722379536039210279e+01,9.487909804351417620e+00,4.162378214206274265e+02,1.185508870214752264e+00,-4.150290201382377120e+01
6.783476192847375614e+02,2.339145966660337592e+02,1.206525151449655340e+02,1.031738511420120261e+02,1.600000000000000000e+01,9.593442977452792064e+00,1.019965672796599598e+01,1.232274900429550257e+01,2.715952617465009666e+01,9.378928824191136826e+00,3.000129022228825875e+02,1.337055682684973101e+00,-4.136676603709510402e+01
5.242241248719128635e+02,3.374501012425723729e+02,1.957495922904731458e+02,1.172789217385053746e+02,7.581592335280688211e+00,1.348601214207225141e+01,1.472274648087548066e+01,1.459821730592540590e+01,3.225400373189754077e+01,4.000000000000000000e+00,6.295218296304260264e+01,5.222222222222220323e-01,-3.661861320578719869e+01
5.341472967108589955e+02,1.903026425891601718e+02,1.812545533715547492e+02,1.221985305360318677e+02,8.085814295389846862e+00,1.343473129401595223e+01,1.546493263288875042e+01,1.420961853225554528e+01,3.020989187793122710e+01,4.076011888188350696e+00,1.190549277671184655e+03,2.039215686274502004e-01,-3.228873986254380668e+01
5.326819134038441916e+02,3.368630496715856566e+02,1.951014527489112709e+02,1.246125155001294473e+02,8.605701818278522097e+00,1.369811254170134340e+01,1.464954148325540118e+01,1.486162635123528020e+01,3.219174975848376619e+01,4.000000000000000000e+00,6.125091704830792878e+02,3.515406162464984607e-01,-4.029393973684341290e+01
5.271439248180053028e+02,3.535248263962129158e+02,1.959559061636844035e+02,1.231210752188122655e+02,9.084713791746041878e+00,1.405991312188237430e+01,1.498085174533382435e+01,1.494390072469892772e+01,3.320146739791490376e+01,4.000000000000000000e+00,5.721117011330209152e+02,2.365079365079364448e-01,-3.889620584594492669e+01
6.182020011413609382e+02,2.108095746633423744e+02,1.910184308830901898e+02,1.130509701936715885e+02,5.697484284227984475e+00,1.094730671823807988e+01,1.491539164291676300e+01,1.444499539789037890e+01,3.502807827050088463e+01,4.000000000000000000e+00,1.958683213737845108e+01,6.530595813204506106e-01,-3.989310465592532751e+01
5.083015522697580764e+02,3.356756006237274050e+02,1.950084275377036818e+02,1.245644982846203987e+02,8.803921782866579449e+00,1.373710107430591876e+01,1.463628753155452245e+01,1.484274132927645518e+01,3.217537303574425778e+01,4.000000000000000000e+00,5.447885015515752229e+02,4.860482654600299379e-01,-3.999386821667513914e+01
5.043240295249808014e+02,1.769762976197957016e+02,1.796116074846795811e+02,1.223649762670228540e+02,8.414776984763037149e+00,1.347025718293516228e+01,1.574963003801791395e+01,1.412919807384447068e+01,2.998982082760741363e+01,4.000000000000000000e+00,1.213979259464801999e+03,2.039215686274503947e-01,-3.306090914145159587e+01
4.642370546982854762e+02,3.248826461912033210e+02,1.965382976261736871e+02,1.232956157403674098e+02,9.867759342226895214e+00,1.363272079273140136e+01,1.471202776807893819e+01,1.474486341548196755e+01,3.221028683546983018e+01,4.274933963545601401e+00,3.603783490198028971e+02,3.189542483660126049e-01,-3.708017189730449559e+01
6.148886179639337115e+02,2.162160841972778655e+02,1.893460524440260144e+02,1.126085598903622440e+02,5.385789106194403431e+00,1.112913872965530793e+01,1.487746335448421320e+01,1.445093722179645113e+01,3.480728257635281864e+01,4.000000000000000000e+00,1.233806959081360333e+01,6.590508667235006612e-01,-3.944732837308298201e+01
6.854635943596788366e+02,3.097636951741197322e+02,1.320492172711044816e+02,1.019733835006925773e+02,1.498950815518105628e+01,6.854778763815299492e+00,1.086697228698081830e+01,1.244436112712597264e+01,2.777782216693970341e+01,1.082701493507469692e+01,2.117961836051382463e+01,1.707776295375815323e+00,-4.162987291255704747e+01
6.770912060175677425e+02,3.116404756654170569e+02,1.307994774585158950e+02,1.024557988992875863e+02,1.493818378802213331e+01,6.484382805960335894e+00,1.076969354864657369e+01,1.248199011227161215e+01,2.794322568210645485e+01,1.076462073261081187e+01,3.043679643334210994e+01,1.755706578600216172e+00,-4.204288014630823511e+01
3.918382671997720763e+02,3.088256960588879565e+02,1.932370854997258505e+02,1.216117556111583866e+02,9.883701994729943152e+00,1.321812964035630245e+01,1.469394670190327012e+01,1.473520306933896862e+01,3.263702993856565371e+01,4.000000000000000000e+00,2.767162997766484978e+02,4.411764705882348925e-01,-3.330230842454300699e+01
4.508949012980314137e+02,3.295883305605909754e+02,1.960319014906488633e+02,1.235196580461004032e+02,9.022974489442708190e+00,1.398449925674897898e+01,1.508228557694439687e+01,1.497498987038039786e+01,3.417334936055338090e+01,4.001299263467239520e+00,4.651767049306689046e+02,2.976190476190473388e-01,-3.878080864317708176e+01
5.252455138881599623e+02,3.346834076719355267e+02,1.941233344019858862e+02,1.258435597066058733e+02,7.566451870974738370e+00,1.360953341647698522e+01,1.461716750419794053e+01,1.488525198653251280e+01,3.186331953705289877e+01,4.000650615717031400e+00,2.486632504753453787e+01,5.761437908496730431e-01,-4.070137201682825179e+01
4.927392451971051628e+02,2.650584292774320829e+02,1.997428258884402226e+02,1.366868663636773249e+02,9.358643419021666077e+00,1.347851894242184656e+01,1.405427604597336888e+01,1.563094412156828383e+01,3.105308638264371623e+01,4.000000000000000000e+00,6.368265401674857458e+02,1.753968253968254121e-01,-3.129943230807046461e+01
4.605441137979879045e+02,3.182045048301835664e+02,1.977102777178992028e+02,1.238530594494377652e+02,1.012269975759248197e+01,1.342963102689651755e+01,1.496227070655639046e+01,1.472433328488084392e+01,3.268843624246262181e+01,4.457707743295902247e+00,3.424537318261469068e+02,4.279956427015245701e-01,-3.594851113997090408e+01
4.527811536650352195e+02,3.275485007231213217e+02,1.921598655254732364e+02,1.291583772500939062e+02,1.038116031803349060e+01,1.343971687778853941e+01,1.461334357399236517e+01,1.480991054505724058e+01,3.224107408452286450e+01,4.000000000000000000e+00,3.703911063958262844e+02,2.650326797385615940e-01,-3.360596001572704239e+01
3.792951658545425744e+02,3.048170912023829260e+02,1.885965757893760326e+02,1.210919812966495925e+02,1.003395214969246041e+01,1.323701977666876317e+01,1.479907097567295615e+01,1.474986813866501834e+01,3.298001026862326768e+01,4.000000000000000000e+00,2.844311392220122912e+02,3.261437908496728211e-01,-3.029569011916661481e+01
6.854409970871754467e+02,3.154042540263354226e+02,1.320512086520756441e+02,1.020263060287178689e+02,1.497395874074890187e+01,6.853021784528920080e+00,1.085914644444941501e+01,1.244347159489443833e+01,2.779982019792653958e+01,1.085875084228964305e+01,2.157940068644741771e+01,1.709971509971509596e+00,-4.176371795701087564e+01
4.889924705952998352e+02,2.500475619181044920e+02,1.999092055970813817e+02,1.370079721458444340e+02,9.357923604024822595e+00,1.346560102446255591e+01,1.403568821600711480e+01,1.564630163883921732e+01,3.101131946240720083e+01,4.000000000000000000e+00,6.696865548024090913e+02,1.753968253968250235e-01,-3.175717023919720816e+01
4.645419005245948370e+02,3.207374409447292578e+02,1.968981698080872889e+02,1.241494905347302051e+02,8.600512363860474352e+00,1.341864605263716825e+01,1.470821275348283308e+01,1.481975539004181464e+01,3.205153862466210057e+01,4.334521417561849610e+00,4.817800064035523633e+02,3.189542483660124383e-01,-3.942717176345815489e+01
5.370886325179338883e+02,2.090653696823193286e+02,1.822688040778032246e+02,1.226378852624656020e+02,8.102721101970779216e+00,1.337364538712613538e+01,1.594026014211730313e+01,1.413346677174864929e+01,3.012595882654526491e+01,4.000000000000000000e+00,1.152795841284128983e+03,2.039215686274503947e-01,-3.196784549820267785e+01
7.000000000000000000e+02,2.319397123230631621e+02,1.346333583158256317e+02,1.021234220919665603e+02,1.589810612488904518e+01,8.045127075501046221e+00,1.067353429133178544e+01,1.211885749542398294e+01,2.621533661309177887e+01,9.469340753767806262e+00,5.456515530001293968e+01,1.780680272108843276e+00,-4.210745100972400934e+01
6.778050455523558639e+02,2.213894401886131789e+02,1.333685747989739241e+02,1.022966463191092004e+02,1.600000000000000000e+01,7.744970624759328182e+00,1.069151585448571673e+01,1.213385850568800706e+01,2.621064645540069549e+01,9.442394794704323857e+00,3.206408633061814584e+01,1.825994054254923560e+00,-4.235888348605899267e+01
4.631489509652939773e+02,3.221324255942582795e+02,1.966518157253985635e+02,1.233849795883478606e+02,9.102503696453757343e+00,1.341687333591485753e+01,1.471255485116876471e+01,1.481130973338810897e+01,3.200494201481689061e+01,4.341754341643925486e+00,4.234179747660714384e+02,4.054621848739495271e-01,-3.827787539617932566e+01
4.137744461971611258e+02,3.630391032017018347e+02,1.976289308947940810e+02,1.228189617948241050e+02,8.920940609191539750e+00,1.516024673842256831e+01,1.533825382269155746e+01,1.491535359070217304e+01,3.314160254203953571e+01,4.447364449513839801e+00,4.525136387112148100e+02,2.111111111111108329e-01,-3.164352754404374224e+01
5.025307366902047193e+02,3.346834076719355267e+02,1.941233344019858862e+02,1.258435597066058733e+02,7.566451870974738370e+00,1.360953341647698522e+01,1.461716750419794053e+01,1.488525198653251280e+01,3.215472431597116554e+01,4.000650615717031400e+00,2.831525400495202760e+01,5.761437908496727101e-01,-4.057532425129250697e+01
4.861160612775063896e+02,3.472493467516620171e+02,1.960509003953124818e+02,1.237358846758263695e+02,9.128603983434020464e+00,1.400931914612917240e+01,1.501798008208895929e+01,1.492675377326651187e+01,3.297787058378585812e+01,4.000000000000000000e+00,5.057618149417261293e+02,2.904295051353874557e-01,-3.800908316042789892e+01
5.315930392178250941e+02,3.375133498199897986e+02,1.952789496297858136e+02,1.249750661490828207e+02,8.426656511953840578e+00,1.370159646601401882e+01,1.467428162889412491e+01,1.485773983966972089e+01,3.219888972722199583e+01,4.000000000000000000e+00,6.343829169097231215e+02,3.443510737628382445e-01,-4.043246706554669601e+01
4.897715665857022032e+02,3.471424397765994740e+02,1.959601175518569960e+02,1.239257273068205762e+02,9.073519671738381476e+00,1.404217886661266590e+01,1.501506823080089958e+01,1.492234814076004312e+01,3.297567110702739512e+01,4.000000000000000000e+00,5.124102173491539816e+02,2.904295051353872337e-01,-3.824259729016298337e+01
4.004345806638426666e+02,3.065124350812181433e+02,1.914677700887549179e+02,1.202321349977562335e+02,1.001185029009139704e+01,1.338518552920610816e+01,1.468618886057788409e+01,1.468577861668835283e+01,3.356220302431763969e+01,4.000000000000000000e+00,3.019774954773801028e+02,3.333333333333329263e-01,-3.377634836551688124e+01
4.630396853952658489e+02,3.196903422327928865e+02,1.976367930926872987e+02,1.246646385104453287e+02,1.003710091331204346e+01,1.343428348299121744e+01,1.495849774257829701e+01,1.469881788539881384e+01,3.259662868442556061e+01,4.499857587157594097e+00,3.535551914780548373e+02,3.872549019607840481e-01,-3.587538366800839640e+01
4.727145661412558866e+02,3.211961674977558800e+02,1.972094377221887100e+02,1.236027520334275636e+02,9.392825279901950708e+00,1.343173056227998252e+01,1.470955199401195479e+01,1.482044590035547671e+01,3.195100866284797902e+01,4.320088613465703276e+00,4.054829694177873876e+02,3.515406162464985718e-01,-3.787853513128669647e+01
6.774789651031977655e+02,2.204286550131131719e+02,1.348955474138194290e+02,1.023409343868549826e+02,1.600000000000000000e+01,7.697160434724264810e+00,1.068082253988149333e+01,1.213347857097551064e+01,2.615182039063580532e+01,9.438939887439218523e+00,3.839799874258064705e+01,1.803429951690821209e+00,-4.241796789371208831e+01
